Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	Meta	eMeta1	eMeta2	logg	elogg1	elogg2	rho	erho1	erho2	Prot	eProt1	eProt2	Age	eAge1	eAge2	cutoff	class	type	cat1	cat2	e_M	e_R	e_Teff	e_L	mode
1	KIC10003270	1.416	0.207465659809039	0.103232746742494	2.362	0.114947814246292	0.0984784240328814	6594	69	69	9.847	0.935283684854657	0.935283684854657	-0.181	0.1	0.1	3.848	0.0221359436211787	0.0230867927612304	0.1086	0.00810268924493591	0.00791751034100998	7.09	0.48	0.48	2.467	0.600740376535488	0.917130852168871	3.4717492	MS	F	serenelli17	garcia14	10.9709889319044	4.51791359608749	1.04640582347589	9.49815867629386	Ast
2	KIC10016239	1.264	0.0540370243444252	0.0596405902049938	1.298	0.0246981780704569	0.0255538646783613	6482	51	51	2.567	0.211327209888464	0.211327209888464	-0.005	0.1	0.1	4.312	0.010770329614269	0.010770329614269	0.5763	0.0184830611371602	0.0174825040826536	4.91	0.39	0.39	1.289	0.851305468090039	0.804329534457115	3.5451652	MS	F	serenelli17	garcia14	4.49674108185993	1.93574895026264	0.786794199321197	8.23245850753659	Ast
3	KIC10024648	1.444	0.087692645073575	0.13729530217746	2	0.0504479930225178	0.0602079728939615	6409	157	157	5.875	0.502415649551589	0.502415649551589	-0.006	0.1	0.1	3.994	0.0143178210632764	0.0161554944214035	0.1802	0.00615858795829044	0.00593933915852597	10.58	0.92	0.92	2.34	1.18604763816636	0.649809972222649	3.5930167	MS	F	serenelli17	garcia14	7.79044138680869	2.76639914791198	2.44968013730691	8.55175573704832	Ast
4	KIC10025841	1.121	0.133195345264014	0.0966488489326179	1.521	0.0945568612000208	0.0850940655980192	5738	187	187	3.181	0.271735078378362	0.271735078378362	0.197	0.1	0.1	4.127	0.0362215405525497	0.0392045915678253	0.3193	0.0449092151345356	0.040844652085677	11.84	1.22	1.22	7.289	3.08230514388177	3.04117411537058	4.0328572	MS	G	serenelli17	garcia14	10.251748180046	5.90568464161867	3.25897525270129	8.5424419483924	Ast
5	KIC10068307	1.6081	0.0263	0.0263	2.1646	0.0139	0.0139	6132	77	77	6.691	0.403	0.403	-0.23	0.1	0.1	3.9732	0.0017	0.0017	0.158582487039273	0.000497123783822172	0.000497123783822172	18.6	2.07	2.07	2.0082	0.0944	0.0944	3.7745902	MS	F	silva17	garcia14	1.63547043094335	0.64215097477594	1.25570776255708	6.02301599163055	Ast
6	KIC10070754	1.201	0.0552177507691141	0.056859475903318	1.284	0.0286356421265527	0.0286356421265527	6550	58	58	2.492	0.206873468067021	0.206873468067021	-0.21	0.099	0.099	4.299	0.0148660687473185	0.0148660687473185	0.5657	0.0260648158443523	0.0262609715166823	5.02	0.41	0.41	1.836	1.01461322680123	0.969585994123265	3.5005912	MS	F	serenelli17	garcia14	4.66599611458918	2.23019019677202	0.885496183206107	8.3015035339896	Ast
7	KIC10079226	1.147	0.0470106370941726	0.0460977222864644	1.158	0.0170880074906351	0.0170880074906351	6078	50	50	1.666	0.139281472396433	0.139281472396433	0.106	0.099	0.099	4.37	0.00761577310586391	0.00761577310586391	0.7383	0.0103502359876478	0.0104257321085859	14.81	1.23	1.23	2.421	1.11540216962314	1.03498067614811	3.8099872	MS	F	serenelli17	garcia14	4.05877765390746	1.47564831525346	0.822639025995393	8.36023243676071	Ast
8	KIC10081026	1.354	0.0781024967590666	0.0744043009509531	2.341	0.0922821759604746	0.0862844134244418	6503	61	61	10.56	0.966112970046765	0.966112970046765	-0.244	0.101	0.101	3.83	0.0223606797749979	0.0223606797749979	0.1052	0.00860655151614164	0.00831776610635332	4.32	0.38	0.38	2.788	0.358704613853795	0.360760308238032	3.5313997	MS	F	serenelli17	garcia14	5.63171335709083	3.81389554431688	0.938028602183608	9.14879706483679	Ast
9	KIC10129349	1.381	0.0578013840664737	0.0570087712549569	1.534	0.041146081222882	0.0393573373083089	6699	56	56	4.248	0.367732674870185	0.367732674870185	0.045	0.1	0.1	4.206	0.0177200451466694	0.0177200451466694	0.3817	0.0191729513638355	0.0191634382092567	1.16	0.15	0.15	1.575	0.386927641814332	0.397775062063976	3.4029217	MS	F	serenelli17	garcia14	4.15677607970422	2.62397061705316	0.83594566353187	8.65660722387442	Ast
10	KIC10130724	0.85	0.15	0.09	1.08	0.06	0.04	5648	70	70	4.802	1.39168643856667	1.39168643856667	0.32	0.15	0.15	4.306	0.022	0.016	0.6827	0.0216	0.0209	32.61	2.95	2.95	13.8	3.9	6.1	4.0918522	MS	G	C14sdss	garcia14	14.1176470588235	4.62962962962963	1.23937677053824	28.9813918901848	Ast
11	KIC10147635	1.467	0.0554707129934347	0.0468721665810319	2.688	0.0446542271235322	0.0414004830889689	6155	66	66	9.718	0.857439330910491	0.857439330910491	-0.035	0.1	0.1	3.746	0.00670820393249937	0.00670820393249937	0.07556	0.00149350844992588	0.001477372833783	20.34	1.63	1.63	2.493	0.237345739376126	0.210354462752755	3.7595137	MS	F	serenelli17	garcia14	3.48816903798454	1.60072005603611	1.07229894394801	8.82320776816722	Ast
13	KIC10186764	1.305	0.0629682459657247	0.0698140387028282	1.709	0.0651920240520265	0.062393909959226	6488	74	74	3.867	0.346675421583137	0.346675421583137	-0.167	0.102	0.102	4.087	0.0231948270094864	0.0251793566240283	0.2597	0.0225543216257993	0.0221663331202975	11.44	1.01	1.01	2.748	0.718415617870324	0.636028301257106	3.5412322	MS	F	serenelli17	garcia14	5.08744385703268	3.73276576978503	1.14056720098644	8.96497081932083	Ast
14	KIC10202294	1.18	0.21	0.11	1.88	0.08	0.07	5803	66	66	4.243	0.36646582595668	0.36646582595668	0.36	0.1	0.1	3.961	0.026	0.015	0.1786	0.0062	0.0065	23.55	2.37	2.37	6.2	1.1	1.9	3.9902497	MS	G	C14sdss	garcia14	13.5593220338983	3.98936170212766	1.13734275374806	8.63695088278766	Ast
15	KIC10214328	1.23	0.085146931829632	0.0630317380372777	1.765	0.0539073278877742	0.051662365412358	6923	80	80	6.189	0.470228183233684	0.470228183233684	-0.584	0.102	0.102	4.033	0.0234093998214393	0.0206155281280883	0.2237	0.0147731362953166	0.0153182752292809	12.52	0.8	0.8	3.003	0.681358202416321	0.812301668101205	3.2560897	MS	F	serenelli17	garcia14	6.02352316532153	2.99064286969213	1.15556839520439	7.5978055135512	Ast
16	KIC10215584	1.068	0.060605280298007	0.0638200595424354	1.139	0.0290688837074973	0.0290688837074973	5995	57	57	1.78	0.157131504009564	0.157131504009564	-0.015	0.1	0.1	4.352	0.0170880074906351	0.0170880074906351	0.7201	0.0373758863975157	0.0288770217300884	22.25	2.94	2.94	4.491	1.97933423150311	1.85981961490893	3.8643937	MS	G	serenelli17	garcia14	5.82515635957127	2.55214079960468	0.950792326939116	8.82761258480697	Ast
17	KIC10290021	1.37	0.13	0.11	2.05	0.06	0.07	6215	56	56	6.234	0.534000492474451	0.534000492474451	0.06	0.15	0.1	3.955	0.014	0.015	0.1612	0.0045	0.0045	12.93	2.22	2.22	3.9	0.9	0.8	3.7201837	MS	F	C14sdss	garcia14	8.75912408759124	3.17073170731707	0.901045856798069	8.56593667748558	Ast
18	KIC10295224	1.475	0.0640702739185654	0.0640702739185654	2.613	0.0942549733435854	0.0885437744847146	6091	50	50	7.578	1.38268935046898	1.38268935046898	0.12	0.1	0.1	3.772	0.0200997512422418	0.0200997512422418	0.08244	0.00648695190362931	0.00630624341426812	2.66	0.65	0.65	2.661	0.28547679415322	0.243515913237718	3.8014657	PMS	F	serenelli17	garcia14	4.34374738430952	3.4978711792633	0.820883270398949	18.2460985810106	Ast
19	KIC10319352	1.077	0.0622012861603359	0.060605280298007	1.483	0.0288444102037119	0.0366742416417845	5659	63	63	2.162	0.19153491573826	0.19153491573826	0.197	0.099	0.099	4.128	0.017464249196573	0.0165529453572468	0.3303	0.0227037728142263	0.0156028523033451	24.87	4.06	4.06	8.685	1.77680190229524	1.76601387310519	4.0846417	MS	G	serenelli17	garcia14	5.7013262051227	2.20899028474364	1.11327089591801	8.85915428946622	Ast
20	KIC10322381	1.138	0.0687968022512675	0.0646374504447692	1.401	0.066098411478643	0.059464274989274	6464	63	63	2.627	0.213321387443824	0.213321387443824	-0.361	0.1	0.1	4.199	0.0280713376952364	0.0290688837074973	0.4109	0.0449059305660177	0.0438555013652791	12.1	1.5	1.5	3.635	1.04959039629753	0.971798332988897	3.5569642	MS	F	serenelli17	garcia14	5.86266488119669	4.48118081612837	0.974628712871287	8.12034211815091	Ast
21	KIC10324098	1.326	0.172754160586656	0.0738173421358423	2.11	0.0813941029804985	0.060802960454241	6370	68	68	6.862	0.611014165471671	0.611014165471671	-0.118	0.101	0.101	3.912	0.0167630546142402	0.0158113883008419	0.1408	0.00693546537731968	0.00673355515311191	10.62	0.81	0.81	3.273	0.663674619071726	1.14578575658803	3.6185812	MS	F	serenelli17	garcia14	9.29756797596146	3.36959865959099	1.06750392464678	8.90431602261252	Ast
22	KIC10351059	1.47	0.0729177618965366	0.0722495674727538	1.819	0.0457930125674212	0.0449444101084885	6530	58	58	5.568	0.459300526153019	0.459300526153019	0.16	0.1	0.1	4.085	0.0139283882771841	0.0148660687473185	0.244	0.0114702997345318	0.0114801862354232	9.42	1.23	1.23	1.938	0.341123144919837	0.333594064695402	3.5137012	MS	F	serenelli17	garcia14	4.93766426426158	2.49415675304865	0.888208269525268	8.24893186338038	Ast
